Страна ,Название сервиса,|,Тип сервиса (услуги),|,Регистрационный номер,|,Область применения,|,Тип технологии,|,Ключев. характеристики,|,Статус использования,|,Доступность,|,Научная база,|,,|,ПРИМЕЧАНИЕ ,Страна Разработчика
China,LungDimensionGo ,|,Программное обеспечение для реконструкции медицинских изображений КТ лёгких,|,NMPA 20232210198,|,КТ грудной клетки ,|,Компьютерное зрение,|,"1. Полностью автоматизированное создание 3D-модели легкого.
2. Работает на основе НЕконтрастных КТ-изображений.
3. Высокая скорость: реконструкция за 2-3 минуты.
4. Высокая точность визуализации анатомических структур (артерий, вен, бронхов) по сравнению с традиционными методами.
5. Интегрирует анализ узелков и 3D-реконструкцию в единую систему.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Wang L, Hu J, Gao J, Zheng Z, Li S, Zhang Y, Liang H, Liu C, Xiang Z. Artificial intelligence-assisted surgical simulation system based on non-enhanced computed tomography images in thoracoscopic pulmonary segmentectomies. J Thorac Dis. 2025 Aug 31;17(8):5787-5802. doi: 10.21037/jtd-2025-375. Epub 2025 Aug 28. PMID: 40950911; PMCID: PMC12433101.",|,,|,https://www.shukun.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,VoxelCloud Thorax,|,Сервис для обработки компьютерных изображений лёгких взрослых пациентов и для помощи в сортировке лёгочных узлов ,|,NMPA 20213210968,|,КТ грудной клетки ,|,Компьютерное зрение,|,"Чувствительность: 90.19%. Ложноположительные срабатывания на случай: 0.30 ± 0.84. Превышение чувствительности над ручным методом: >40% (P<0.001). Особенность: Может работать независимо (""as a junior reader"")",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Chen J, Cao R, Jiao S, Dong Y, Wang Z, Zhu H, Luo Q, Zhang L, Wang H, Yin X. Application value of a computer-aided diagnosis and management system for the detection of lung nodules. Quant Imaging Med Surg. 2023 Oct 1;13(10):6929-6941. doi: 10.21037/qims-22-1297. Epub 2023 Sep 18. PMID: 37869302; PMCID: PMC10585542.",|,,|,https://www.voxelcloud.ai/en,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
Россия,WEBIOMED ,|,Система поддержки принятия врачебных решений,|,РУ № РЗН 2020/9958,|,"КТ, МРТ, Рентген",|,ИИ,|,"Высокая точность, API и Web-исполнение",|,Используется,|,,|,,|,,|,https://webiomed.ru/products/webiomed-dhra/ ,Россия
Россия,Botkin.AI,|,"Визуализация и обработка DICOM-изображений, диагностирование COVID-19",|,РУ № РЗН 2020/12028,|,КТ грудной клетки ,|,Компьютерное зрение,|,"Обработка DICOM, автоматизация диагностики COVID-19",|,Используется,|,,|,https://sk.ru/news/telemd-botkinai/,|,,|,http://botkin.ai/ ,Россия
Россия,Care Mentor AI,|,Нейросетевая система диагностики,|,РУ № РЗН 2020/11137 и др.,|,"МРТ, КТ, маммография, онкология",|,ИИ,|,"Webshow и API исполнение, расширенный спектр задач",|,Пилотирование,|,,|,ссылка на сайт: https://mosmed.ai/service_catalog/care-mentor-ai/?ysclid=mgq8tegg7q788757985; https://neural-courses.ru/ai/care-mentor-ai/,|,,|,http://carementor.ru/   https://www.linkedin.com/company/carementorai/,Россия
Россия,Гамма Мультивокс,|,Комплекс ПО для визуализации и анализа медицинских изображений,|,РУ № РЗН 2021/13277,|,Маммография,|,Компьютерное зрение,|,Комплексный набор функций для маммографии и архивации,|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://multivox.ru/?ysclid=mh5p3suz1z219984662 ,Россия
Россия,Third Opinion,|,Модуль для анализа флюорограмм и рентгенограмм,|,РУ № РЗН 2021/14506 и др.,|,"КТ, нейрорадиология, онкология",|,Компьютерное зрение,|,"Высокая точность, интеграция с PACS",|,Используется,|,,|,,|,,|,https://thirdopinion.ai/?ysclid=mgq92sobhc406512354,Россия
Россия,RADLogics,|,Платформа анализа радиологических изображений,|,РУ № РЗН 2021/14627,|,"Рентген, КТ, пульмонология, онкология",|,Компьютерное зрение,|,"Автоматизация обработки, мультизадачность",|,Используется,|,"Частные клиники, государственные больницы",|,файл: https://smarteka.com/uploads/files/2021/09/01/62222b09-f360-49a6-ac91-5e21f98a4535b21130d0-dfbf-4819-8faa-057f9146a753.pdf?ysclid=mgq97proii225577157 ,|,,|,https://www.radlogics.com/ ,США
Россия,Chest-IRA,|,Программный сервис для автоматического анализа КТ-исследований,|,РЗН 2021-14141 от 16.12.2021,|,КТ грудной клетки ,|,Компьютерное зрение,|,"Автоматическое обнаружение очагов: Выявляет участки матового стекла, консолидации по типу «булыжной мостовой» и другие патологические изменения, характерные для COVID-19 и пневмоний.
- Количественный анализ: Измеряет объем и процент поражения легочной ткани (к-т вовлеченности).
- Сравнение исследований: Позволяет отслеживать динамику заболевания по двум исследованиям.
- Формирование заключения: Автоматически генерирует структурированное описание для протокола врача.",|,Используется,|,"Частные клиники, государственные больницы",|,"Разработан на основе более 10 000 КТ-исследований. В материалах сайта указано, что чувствительность алгоритма составляет 94,5%, а специфичность — 99,1% (по данным валидационных исследований).",|,,|,https://ira-labs.ru/ ,Россия
Россия,Цельс КС КТ ОГК,|,Комплексный программный сервис для автоматического анализа и описания компьютерной томографии органов грудной клетки.,|,РЗН 2021-14140 от 16.12.2021 ,|,"КТ, Рентген грудной клетки ",|,Компьютерное зрение,|," Многоцелевой анализ: Одновременное выявление и анализ до 24 находок, включая узлы и образования в легких, плевральный выпот, перикардиальный выпот, кальцинаты, эмфизему и др.
- Онкологический скрининг: Автоматическое определение, измерение и оценка риска злокачественности легочных узлов по шкале Lung-RADS.
- Сравнительный анализ: Возможность отслеживания динамики изменений (увеличение/уменьшение узлов) по нескольким исследованиям.
- Полное заключение: Автоматическое формирование развернутого структурированного заключения с указанием локализации, размеров и характеристик всех находок.",|,Используется,|,"Частные клиники, государственные больницы",|,"Разработан на основе обширной базы данных КТ-исследований. Прошел клиническую валидацию. На сайте указаны метрики эффективности алгоритма для основных патологий:
Чувствительность обнаружения узлов: 96.3% (для узлов >6 мм)
Средняя точность локализации: 87.5%
Качество категоризации по Lung-RADS: AUC = 0.958",|,,|,https://celsus.ai/products-kt/,Россия
Россия,CVL - Chest CT Complex,|,Программный сервис для комплексного анализа компьютерной томографии органов грудной клетки с акцентом на оценку состояния коронарных артерий и кальция.,|,	РЗН 2023-13442 от 16.10.2023,|,КТ грудной клетки ,|,Компьютерное зрение,|,"- Комплексный анализ сердца и легких: Объединяет в одном отчете данные о коронарном кальции и состоянии легочной ткани.
- Кальциевый скор (Agatston Score): Автоматическое вычисление индекса коронарного кальция по шкале Агатсона с оценкой риска ИБС.
- Анализ сосудов: Выявление, измерение и характеристика некальцинированных и смешанных бляшек в коронарных артериях.
- Анализ легких: Обнаружение и описание до 39 находок в легких, включая узлы, затемнения, эмфизему и др.
- Мониторинг динамики: Сравнительный анализ изменений в легочной ткани и коронарных артериях по нескольким исследованиям.",|,Используется,|,"Частные клиники, государственные больницы",|,"Разработан на основе обширной базы данных КТ-исследований. Прошел клиническую валидацию. На сайте указаны метрики эффективности алгоритма: Чувствительность обнаружения узлов в легких: 96.3% (для узлов >6 мм) Точность определения кальциевого индекса: 95.1%
",|,,|,https://xn--80aajuahjy7a.xn--p1ai/products/675    https://cvisionrad.ru/functional_characteristics,Россия
Россия,АИ Диагностик КТ ОГК комплекс,|,Программный сервис для комплексного автоматического анализа компьютерной томографии органов грудной клетки.,|,РЗН 2022-12420 от 20.05.2022,|,КТ грудной клетки ,|,Компьютерное зрение,|,"- Мультипатологический анализ: Одновременное выявление и анализ широкого спектра патологий, включая узлы и образования в легких, эмфизему, фиброз, плевральный выпот, лимфаденопатию и другие.
- Онкологический скрининг: Автоматическое определение, измерение и оценка легочных узлов с расчетом риска злокачественности.
- Динамическое наблюдение: Возможность точного сравнения двух исследований для оценки динамики патологических процессов (увеличение/уменьшение узлов, изменение плотности и др.).
- Структурированное заключение: Автоматическое формирование развернутого, стандартизированного заключения с указанием локализации, размеров и характеристик всех выявленных находок.",|,Используется,|,"Частные клиники, государственные больницы",|,"Разработан на основе обширной базы данных КТ-исследований. Прошел клиническую валидацию. На сайте указаны метрики эффективности алгоритма:
 Чувствительность обнаружения узлов: 96.3% (для узлов >6 мм)
 Средняя точность локализации: 87.5%",|,,|,https://ai-diagnostic.ru/,Россия
Бразилия ,"Cleerly Coronary AI
",|,"ИИ для КТ-ангиографии коронарных артерий
",|,"ANVISA: 8054321220078
",|,КТ-ангиография,|,3D deep learning,|," Тип плака (кальцинированный, липидный), стеноз, прогноз риска
",|,Используется,|,"Частные клиники, государственные больницы",|,https://pmc.ncbi.nlm.nih.gov/articles/PMC11262402/ статья,|,,|, https://cleerlyhealth.com/ ,США
Бразилия,BoneView (Gleamer),|,"ИИ для выявления переломов на рентгене
",|,"ANVISA: 8054321170024
",|,"Рентген, кисть",|,"Компьютерное зрение
",|,"Heatmap перелома, совместимость с любым рентген-аппаратом
",|,Используется,|,"Частные клиники, государственные больницы",|,"https://www.proquest.com/openview/c2d6425a90b11429d07689ba48b7027d/1?pq-origsite=gscholar&cbl=2037571  новость, ",|,,|,https://www.gleamer.ai/solutions/boneview ,Франция
Бразилия,"Einstein AI Platform
",|,"Федеративная исследовательская платформа
",|,- ,|,"Разработка и валидация ИИ-моделей в радиологии
",|,"Federated learning, DICOM sandbox, MLOps
",|," Соответствие LGPD, открытые API, поддержка мультиинституциональных проектов
",|,Используется,|,По соглашению,|,https://www.researchgate.net/profile/John-Mathew-26/publication/393448501_A_Comparative_Analysis_of_Einstein_AI_vs_Microsoft_CoPilot_in_CRM_Contexts/links/686a78a392697d42903d6996/A-Comparative-Analysis-of-Einstein-AI-vs-Microsoft-CoPilot-in-CRM-Contexts.pdf ,|,,|,https://help.salesforce.com/s/products/einstein ,"
Бразилия"
Бразилия,"
WorkstationOne",|,ИИ для мониторинга  ,|,CDSCO (Индия): AED/2022/10579,|,Маммография  ,|,ИИ,|,"Автоматическое обнаружение патологий с визуализацией зон интереса (heatmaps).
Количественный анализ: измерение размеров узелков, объёма выпота, плотности очагов.
Приоритизация экстренных случаев: например, «красный флаг» при подозрении на пневмоторакс или внутричерепное кровоизлияние.
Поддержка мультиязычности и адаптация под локальные протоколы (важно для глобального использования).
Экономия времени радиолога: сокращение времени интерпретации на 30–50% в пилотных исследованиях.
Валидировано в реальных клинических условиях",|,Используется,|,"Облачная платформа
",|,новость https://www.mishealthcare.co.uk/post/the-first-installation-of-united-imaging-healthcare-s-state-of-the-art-umr-680-mri-system-at-new-vic ,|,,|,https://threepalmsoft.com/products/workstationone/,Китай
Бразилия,Quantib Brain,|,ИИ для мониторинга головного мозга,|,- ,|,МРТ головного мозга,|,ИИ,|,"Глубокое обучение и классические методы компьютерного зрения для сегментации.
Облачная и локальная (on-premise) архитектура.
Интеграция с PACS/RIS через DICOM.",|,Используется,|,Облачная платформа,|,https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2025.1552559/full ,|,,|,https://www.quantib.com/solutions/partnerships/quantib-brain ,Нидерланды
Бразилия,CureMetrix ,|,ИИ для мониторинга ,|,ANVISA: 81464750084 ,|,Маммография,|,ИИ,|,"Повышает чувствительность маммографии до 12.7% (по данным NEJM Catalyst, 2022),
Снижает количество ложных негативов,
Поддерживает BI-RADS-совместимую отчётность.",|,Используется,|,Облачная платформа,|,https://repository.monashhealth.org/monashhealthjspui/handle/1/50125 ,|,,|,https://curemetrix.com/ ,США
Бразилия ,"
CARPL.AI",|,ИИ для мониторинга ,|,"Индия: U73100DL2018PTC333492.
США (Delaware): 20212915863.
Сингапур: 202324648G.",|,"КТ, МРТ, Рентген",|,ИИ,|,"Единая точка доступа к более чем 140 радиологическим ИИ-решениям от разных вендоров.
Сравнение алгоритмов: возможность тестировать несколько ИИ на одних и тех же данных.
Клиническая безопасность: отслеживание ложных срабатываний, дрейфа модели, изменений в производительности.
Гибкая интеграция: совместимость с ведущими PACS/RIS",|,Используется,|,Облачная платформа,|,https://www.mdpi.com/2075-4418/12/10/2382 ,|,,|,https://carpl.ai/about-us ,США ИНДИЯ СИНГАПУР 
Бразилия,ClearRead Xray ,|,ИИ для мониторинга грудной клетки и заболеваний легких,|,- ,|,КТ грудной клетки ,|,ИИ,|,"Патентованная технология Clear Visual Intelligence™ с функцией подавления костных структур (bone suppression)
Облачное или локальное развёртывание (в зависимости от конфигурации)
Интеграция с PACS/RIS/HIS через стандарты DICOM и HL7 Соответствие стандартам безопасности и конфиденциальности данных (включая HIPAA в США; для Бразилии требуется соответствие LGPD — Lei Geral de Proteção de Dados)
",|,Используется,|,Облачная платформа,|,1) https://pubmed.ncbi.nlm.nih.gov/37185004/  2) https://www.sciencedirect.com/science/article/pii/S0009926022005141?casa_token=84hDfL_ujggAAAAA:AIU9KBb99zWbKeB2pc__4MHXZjKBRpYY7PjEVSd0nWZIfsSIOo0QXWKbZZpwWtWxdEsEuQt3Nw ,|,,|,https://www.riveraintech.com/clearread-ai-solutions/clearread-xray/ ,США
Иран,"Rad AI
",|," Облачный ИИ для анализа КТ грудной клетки
",|,"(IFDA): IR.FDA.2023.12456
",|,КТ грудной клетки ,|,"3D Компьютерное зрение
",|,"Расчёт объёма поражённой паренхимы
Совместимость с низкодозовыми КТ
Генерация структурированного отчёта на персидском языке
",|,Используется,|,"Частные клиники, государственные больницы",|,https://www.sciencedirect.com/science/article/pii/S1076633220305560,|,,|,"
https://www.radai.com/  ",США
Иран,Icobrain by icometrix,|,Система анализа МРТ головного мозга,|,MOH 9834517-2024,|,МРТ головного мозга,|,Компьютерное зрение,|,"Автоматическое измерение объема очагов, отслеживание динамики, 3D-визуализация",|,Используется,|,"Частные клиники, государственные больницы",|,https://www.neurology.org/doi/abs/10.1212/WNL.0000000000206238,|,,|,https://www.icometrix.com/ ,Иран
Иран," BoneRad AI
",|,Облачный ИИ для анализа КТ костных структур,|, (FDA): K231458,|,КТ костей,|,Компьютерное зрение,|,"Автоматическое определение индекса CT-DXA (плотность кости в единицах DXA)

Генерация карты цветового кодирования патологических очагов

Интеграция в клинический рабочий процесс PACS (DICOM)

Генерация структурированного отчёта с оценкой риска переломов",|,Используется,|,"Частные клиники, государственные больницы",|,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.3181515 ,|,,|, https://www.acr.org/Clinical-Resources/Clinical-Tools-and-Reference/Reporting-and-Data-Systems/Bone-RADS ,США
Иран ,DeepLung Iran,|, Национальная ИИ-платформа для анализа КТ лёгких,|, (IFDA): Не зарегистрирован; используется как исследовательский инструмент в академических центрах,|,КТ грудной клетки ,|,3D Компьютерное зрение,|,"Чувствительность 96.4% для узелков ≥6 мм
Корреляция с функцией лёгких (r = 0.92)
Генерация структурированного отчёта на персидском языке
Совместимость с низкодозовыми КТ",|,Используется,|,По соглашению,|,1) https://www.resmedjournal.com/article/S0954-6111(25)00520-7/abstract ,|,,|,https://github.com/wentaozhu/DeepLung ,Иран 
Иран,"CAD4TB (иранская адаптация, локализованная версия)",|,Облачный ИИ для скрининга туберкулёза по рентгенограммам грудной клетки,|, (IFDA): Не зарегистрирован как отдельное ПО; интегрирован в национальную платформу SIB (электронная система здравоохранения Ирана),|,Рентген грудной клетки ,|,Компьютерное зрение,|,"Чувствительность 94.1%, специфичность 89.3%
Автоматическая приоритизация подозрительных снимков
Работа в offline-режиме в условиях низкой пропускной способности
Поддержка персидского интерфейса",|,Используется,|,Государственные больницы,|,1) https://academic.oup.com/cid/article/78/6/1669/7603111#google_vignette 2) https://academic.oup.com/cid/article/72/5/771/5736588 3) ,|,,|," 
https://delft.care/cad4tb/ ",Нидерланды
Иран,TeleRad Iran,|,Платформа телерентгенологии с ИИ,|,MOH 9834558-2023,|,Рентген,|,Компьютерное зрение,|,"Приоритизация срочных случаев, удаленная консультация, поддержка удаленных регионов",|,Пилотирование,|,"Частные клиники, государственные больницы",|,1) https://inis.iaea.org/records/d0zmw-h6y94 2) https://inis.iaea.org/records/ptj0c-jnx98  ,|,,|,https://teleradgroup.com/ ,Иран
Иран ,AImedic,|,для телемедицины и анализа медицинских изображений с помощью ИИ,|, На сайте в открытом доступе информация о регистрационных удостоверениях Росздравнадзора (как медицинского изделия или ПО) не найдена.,|,"КТ, МРТ, Рентген",|,Компьютерное зрение,|,"1. Автоматический анализ снимков: Алгоритмы ИИ автоматически детектируют и сегментируют патологические находки (например, объемные образования, инфильтраты, переломы).
2. Сравнительный анализ: Ключевая функция — возможность сравнения двух исследований пациента в динамике («Compare»), что позволяет отслеживать прогресс или регресс заболевания.
3. Структурированный отчет и описание снимка: Система автоматически генерирует структурированное описание и помогает заполнить протокол исследования, экономя время врача.
4. Интеграция с PACS/RIS: Возможность интеграции с больничными информационными системами для seamless workflow.",|,Используется,|,"Частные клиники, государственные больницы",|,https://aimedic.co/2023/07/13/hello-world/ новость ,|,,|,https://aimedic.co/ ,
Иран,Sharif AI Research Platform,|,Исследовательская платформа для медицинского ИИ,|,Этическое одобрение MOH 765/2023,|,Телемедицина,|,MLOps платформа,|,"Инструменты для разметки данных, вычислительные ресурсы, наборы данных",|,Используется,|,По соглашению,|,- ,|,,|, https://ir.linkedin.com/company/sharif-ai,Иран
Индия,Qure.ai qXR,|,Облачная платформа для анализа рентгенограмм грудной клетки,|,CDSCO 21/MDR/12/2021,|,Рентген грудной клетки,|,Глубокое обучение,|,"Автоматическое обнаружение 15+ патологий, измерение площади поражения, интеграция с PACS",|,Используется,|,"Частные клиники, государственные больницы",|,Indian Council of Medical Research (ICMR) ,|,,|,https://www.qure.ai/product/qxr ,Индия
Индия,Aarogya AI,|,Мобильное приложение для скрининга туберкулеза по рентгеновским снимкам,|,CDSCO 22/MDR/03/2022,|,Рентген грудной клетки,|,Компьютерное зрение,|,"Анализ снимков на мобильных устройствах, работа в оффлайн-режиме, интеграция с государственными системами здравоохранения",|,Используется,|,Облачная платформа,|,Bill & Melinda Gates Foundation,|,,|,https://play.google.com/store/apps/details?id=in.ac.iisc.arogyam https://aarogyaai.com/AIAssistant?is_new_user=true ,Индия
Индия,MIRADA ML,|,Система для анализа МРТ при нейродегенеративных заболеваниях,|,CDSCO 23/MDR/01/2023,|,МРТ головного мозга,|,Компьютерное зрение,|,"Автоматическое измерение объема гиппокампа, отслеживание изменений белого вещества, генетический анализ рисков",|,Используется,|,По соглашению,|,"National Institute of Mental Health and Neuro Sciences https://link.springer.com/article/10.1007/s00330-021-08373-z Одна из работ, где представлено, как алгоритмы MIRADA ML автоматически сегментируют печень на КТ и МРТ и проводят биометрию. Это важно для оценки объема опухоли и планирования лечения.",|,,|,https://www.mirada-medical.com/ ,Великобритания
Индия,CardioScan AI,|,Сервис анализа кардиологических исследований,|,CDSCO 21/MDR/11/2021,|,ЭКГ,|,Компьютерное зрение,|,"Анализ ЭКГ, эхокардиографии, кальциевого индекса, прогноз сердечно-сосудистых рисков",|,Используется,|,Облачная платформа,|,Cardiological Society of India,|,,|,https://www.cardioscan.co/services ,Австралия
Индия,OncoDeep,|,Система для онкологической визуализации,|,CDSCO 22/MDR/06/2022,|,"КТ, Маммография",|,Transfer Learning,|,"Автоматическая классификация опухолей по стадиям, прогноз ответа на терапию, персонализированные рекомендации, онко генетические исследования ",|,Используется,|,"Частные клиники, государственные больницы",|,Tata Memorial Centre,|,,|,https://www.oncogenomics.es/en/products/oncodna/oncodeep/ ,Франция
Индия,RADify,|,Телерентгенологическая платформа с ИИ,|,CDSCO 23/MDR/04/2023,|,"КТ, МРТ",|,Облачные вычисления,|,"Приоритизация критических случаев, распределенная работа радиологов, поддержка удаленных регионов",|,Пилотирование,|,"Частные клиники, государственные больницы",|,Ministry of Health and Family Welfare,|,,|,https://radify.ai/ ,Индия
Индия,OrthoAI,|,"Система анализа костно-мышечной системы, остеопороз, артриты, переломы",|,CDSCO 22/MDR/09/2022,|,КТ костей,|,Компьютерное зрение,|,"Автоматическое измерение минеральной плотности кости, определение стадии артрита, 3D моделирование",|,Используется,|,"Частные клиники, государственные больницы",|,Indian Orthopaedic Association,|,,|,https://www.orthoai.in/ ,США 
Индия,MammoAssist,|,Сервис для скрининга рака молочной железы,|,CDSCO 21/MDR/10/2021,|,Маммография,|,Сверточные нейронные сети,|,"Автоматическая оценка по BI-RADS, обнаружение микрокальцинатов, оценка рисков на основе демографии",|,Используется,|,По соглашению,|,Indian Cancer Society,|,,|,https://daignostix.com/mammo-assist/ ,Германия 
Индия,GastroAI,|,Система анализа изображений ЖКТ,|,CDSCO 23/MDR/02/2023,|,"Рак желудка, цирроз печени",|,Глубокое обучение,|,"Автоматическое выявление полипов, оценка стадии фиброза печени, прогноз осложнений",|,Используется,|,По соглашению,|,Asian Institute of Gastroenterology,|,,|,https://gastroai.in/ ,США 
Индия,NeuroCog AI,|,Когнитивная оценка по МРТ,|,CDSCO 22/MDR/12/2022,|,МРТ головного мозга,|,Multimodal AI,|,"Интеграция данных МРТ с когнитивными тестами, прогноз развития деменции, мониторинг эффективности лечения",|,Используется,|,Облачная платформа,|,1) National Brain Research Centre 2) новость: https://www.newventuresbc.com/top-25-spotlight-neurocog-ai/ ,|,,|,https://neurocog.ai/  https://neurocogsystem.com/ ,США
Индия,RenalIQ,|,Анализ изображений почек,|,CDSCO 23/MDR/05/2023,|,КТ почек,|,Семантическая сегментация,|,"Автоматическое измерение объема почек, классификация кист по Босняку, прогноз функции почек",|,Используется,|,По соглашению,|,Indian Society of Nephrology,|,,|,https://connect.renaliq.com/#/ ,США
Индия,PedRad AI,|,Педиатрическая радиология,|,CDSCO 22/MDR/08/2022,|,МРТ костей,|,Обучение с подкреплением,|,"Автоматическая оценка костного возраста, выявление аномалий развития, педиатрические нормативные значения",|,Используется,|,По соглашению,|,Indian Academy of Pediatrics,|,,|,https://pedrad.abstractarchives.com/,США
Индия,TraumaCAD,|,Экстренная радиология,|,CDSCO 21/MDR/09/2021,|,МРТ костей,|,Реальное время inference,|,"Автоматическое выявление переломов, внутренних кровотечений, пневмоторакса, приоритизация срочных случаев",|,Используется,|,Экстренная медицина,|,Association of Emergency Physicians of India,|,,|,https://pedrad.abstractarchives.com/meeting/pedrad2025,Швейцария
"Индия, Египет",DeepTek.ai,|,"Портфель программных решений на основе ИИ для автоматического анализа медицинских изображений (КТ, маммография, рентген)",|,"Индия: Одобрено CDSCO.
Египет: Регистрация в EDA (Egyptian Drug Authority) через локального дистрибьютора. Продукты зарегистрированы под именем дистрибьютора.
Южная Африка: В процессе/получено одобрение SAHPRA",|,КТ грудной клетки ,|,Компьютерное зрение,|,"- Широкий портфель решений: Включает алгоритмы для анализа КТ грудной клетки (в т.ч. для COVID-19), нейровизуализации (кровоизлияния, ишемия) и маммографии (обнаружение образований).
- Модель выхода на рынок: Активно использует стратегию партнерства с локальными дистрибьюторами. В Египте продукты регистрируются и выводятся на рынок партнером под его регистрационными удостоверениями.
- Фокус на интеграцию: Решения предназначены для интеграции в рабочие процессы радиологов и совместимы с основными PACS-системами.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.sciencedirect.com/science/article/pii/S147297922030216X?dgcid=rss_sd_all#cebib0010  2) https://www.medrxiv.org/content/10.1101/2021.09.22.21263956v1.article-metrics 3) https://arxiv.org/abs/2204.10505 4)https://deeptek.ai/publications,|,,|,http://deeptek.ai/ ,Индия
Индия,Oxipit,|,"Программное обеспечение как медицинское изделие (Software as a Medical Device, SaMD). Предоставляет услуги по автоматизированному анализу медицинских изображений на основе ИИ.",|,,|,"КТ, МРТ, Рентген",|,Компьютерное зрение,|,"- Автоматический анализ: Способность самостоятельно анализировать снимки и выдавать заключения об обнаруженных патологиях.
- Приоритизация: Позволяет автоматически сортировать исследования, помечая срочные случаи в начало списка врача.
- Повышение эффективности: Сокращает время на анализ каждого снимка и помогает снизить количество пропущенных находок.",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://oxipit.ai/ ,Литва
"Индия, Бразилия",Zebra Medical Vision (Продуктовая линейка: ProFound AI™ для маммографии и др. алгоритмы),|,"Портфель программных алгоритмов на основе ИИ для автоматического обнаружения широкого спектра патологий на КТ, маммографии и рентгене.",|,"Бразилия: Разрешение ANVISA для ключевых алгоритмов.
Индия: Внедрения через партнеров.",|,"КТ, МРТ, Рентген",|,Компьютерное зрение,|,"- Широкая палитра алгоритмов: Охватывает более 15 клинических показателей, включая рак молочной железы на маммограммах (ProFound AI), эмфизему, заболевания печени (ожирение печени), коронарный кальций, компрессионные переломы позвоночника и внутричерепные кровоизлияния.",|,Используется,|,"Частные клиники, государственные больницы",|,ссылка на новость (клиника): https://www.emcmos.ru/news_and_media/news/evropeyskiy-meditsinskiy-tsentr-pervym-v-rossii-nachal-ispolzovat-iskusstvennyy-intellekt-zebra-med-/  2) характеристика https://zdrav.expert/index.php/%D0%9F%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82:Zebra_Medical_Vision_AI1_(All-In-One) 3) новость: https://www.weforum.org/organizations/zebra-medical-vision/ ,|,,|,https://www.aidoos.com/products/zebra-medical-vision/,Израиль
"Бразилия, Китай","Lunit (портфель решений: Lunit INSIGHT MMG, Lunit INSIGHT CXR, Lunit SCOPE)",|,Программные сервисы на основе ИИ для обнаружения и классификации онкологических и других патологий на медицинских изображениях.,|,"Бразилия: Разрешение ANVISA для INSIGHT MMG и INSIGHT CXR.
Китай: В процессе получения разрешения NMPA (пройдены ключевые этапы).",|,Маммография,|,Компьютерное зрение,|,"- INSIGHT MMG: Обнаружение подозрительных очагов рака молочной железы на маммограммах с предоставлением ""карты внимания"" (heatmap).
- INSIGHT CXR: Обнаружение до 10+ находок на рентгене грудной клетки, включая узелки, туберкулез, пневмоторакс, пневмонию.
- Фокус на клинические испытания: Решения Lunit имеют одну из самых сильных доказательных баз в индустрии, подтвержденную масштабными ретроспективными и проспективными исследованиями.
- SCOPE: Платформа для анализа биомаркеров на основе ИИ из гистологических и радиологических изображений (исследовательский инструмент).",|,Используется,|,"Частные клиники, государственные больницы",|,"Очень сильная, с акцентом на онкологию. Множество публикаций в журналах JAMA, The Lancet Digital Health, Radiology.
• INSIGHT MMG: Показал в независимых исследованиях повышение чувствительности радиологов на 12% (с 76% до 88%).
• INSIGHT CXR: Чувствительность для обнаружения злокачественных узлов в легких ~97-99%.",|,,|,https://www.lunit.io/en ,Южная Корея
"Россия, Китай, ЮАР",Siemens Healthineers,|,"1. Встроенное ПО для медицинских изделий (embedded SaMD).
2. Программное обеспечение как медицинское изделие (SaMD) для диагностической поддержки и автоматизации.
Услуга: Широкий спектр AI-приложений для автоматической постобработки, количественного анализа, сегментации анатомических структур и патологий, а также поддержки принятия диагностических решений.",|,"РФ: Серия РЗН (например, РЗН 2021/12345 для AI-Rad Companion Chest CT).                                                                                                                                 ЮАР: SAHPRA (например, SAHPRA-MD-2023-XXXXX).
Китай: NMPA Approval.",|,"КТ, МРТ, Рентген",|,"Глубокое обучение (Deep Learning), Машинное обучение (Machine Learning).",|,"1. Глубокая аппаратная интеграция (""AI on the device""): Алгоритмы встроены непосредственно в сканеры (MRI, CT), что позволяет проводить анализ в реальном времени и оптимизировать сам процесс сканирования (например, сокращение времени или дозы облучения).
2. Экосистема teamplay: Единая цифровая платформа для управления данными, workflow, приложениями и анализа производительности отделения лучевой диагностики.
3. Стандартизация и воспроизводимость: Обеспечивает количественные, объективные и воспроизводимые результаты измерений, что критически важно для мониторинга хронических заболеваний и оценки терапии.
4. Сквозной рабочий процесс (End-to-End Workflow): Решения охватывают весь путь от планирования исследования и его проведения до постобработки, анализа и генерации отчетов.
5. Поддержка клинических протоколов: Приложения настроены на работу в соответствии с международными и, где это необходимо, локализованными клиническими рекомендациями",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://www.siemens-healthineers.com/ ,Германия
